Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
ML-DSA-87,1024,2504,7249014,826,2392355,221,638290
ML-DSA-87,1024,317,918720,1226,3548933,222,642089
ML-DSA-87,1024,312,903553,517,1496487,218,631823
ML-DSA-87,1024,312,904162,1418,4102920,333,966193
ML-DSA-87,1024,466,1349834,1019,2950344,318,920895
ML-DSA-87,1024,362,1047712,430,1246043,221,637101
ML-DSA-87,1024,324,940441,983,2845306,217,627734
ML-DSA-87,1024,351,1016189,471,1363812,237,685502
ML-DSA-87,1024,342,988320,546,1582414,216,625616
ML-DSA-87,1024,330,955115,412,1193582,217,626371
ML-DSA-87,1024,311,900740,752,2175725,220,637304
ML-DSA-87,1024,324,937048,541,1567508,220,635594
ML-DSA-87,1024,309,895143,779,2253096,217,629503
ML-DSA-87,1024,310,897927,412,1193292,218,628720
ML-DSA-87,1024,305,882992,691,2000826,222,641248
ML-DSA-87,1024,314,909701,801,2318811,216,625617
ML-DSA-87,1024,311,901726,518,1499764,216,625008
ML-DSA-87,1024,311,899551,621,1796376,219,636579
ML-DSA-87,1024,309,893722,646,1870297,216,626023
ML-DSA-87,1024,307,888821,512,1483031,220,636405
ML-DSA-87,1024,308,892040,777,2249993,216,626023
ML-DSA-87,1024,312,904452,540,1563129,216,626429
ML-DSA-87,1024,309,893345,539,1561562,220,635824
ML-DSA-87,1024,308,892156,908,2629053,218,630489
ML-DSA-87,1024,310,897434,412,1191987,218,630895
ML-DSA-87,1024,311,900044,1119,3239706,249,720824
ML-DSA-87,1024,305,883804,662,1917625,217,626110
ML-DSA-87,1024,316,914022,646,1872037,217,626284
ML-DSA-87,1024,310,897840,647,1872676,216,626081
ML-DSA-87,1024,308,892098,514,1490455,220,635564
ML-DSA-87,1024,308,892823,858,2484691,217,626341
ML-DSA-87,1024,312,901378,649,1879055,220,636608
ML-DSA-87,1024,310,899522,407,1178357,220,636463
ML-DSA-87,1024,317,916052,541,1567739,220,636492
ML-DSA-87,1024,308,894273,415,1200860,221,639102
ML-DSA-87,1024,310,895578,1295,3750077,216,625733
ML-DSA-87,1024,306,885109,1302,3768666,220,636086
ML-DSA-87,1024,319,923766,1012,2931030,217,626256
