Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
ML-DSA-44,512,2514,7278318,276,798573,85,246993
ML-DSA-44,512,176,511938,490,1417955,85,246065
ML-DSA-44,512,172,499003,731,2115144,85,246558
ML-DSA-44,512,173,502860,228,661171,85,246877
ML-DSA-44,512,170,492043,780,2258491,85,246935
ML-DSA-44,512,166,479776,783,2267104,85,246094
ML-DSA-44,512,168,485663,286,828327,85,246007
ML-DSA-44,512,170,492420,224,649252,85,245891
ML-DSA-44,512,167,484068,480,1390434,85,246413
ML-DSA-44,512,169,489056,465,1345280,85,246008
ML-DSA-44,512,168,487316,225,652993,84,245775
ML-DSA-44,512,174,504136,224,649396,85,247080
ML-DSA-44,512,178,516055,366,1059313,93,269265
ML-DSA-44,512,246,713806,1111,3218652,86,251633
ML-DSA-44,512,194,561730,225,652732,85,246674
ML-DSA-44,512,170,492768,401,1160724,85,247052
ML-DSA-44,512,169,487954,293,849613,85,246355
ML-DSA-44,512,177,513242,226,655951,86,246761
ML-DSA-44,512,170,493029,468,1355345,86,247312
ML-DSA-44,512,172,500395,461,1336523,94,270658
ML-DSA-44,512,169,488099,224,648033,85,246298
ML-DSA-44,512,171,496103,358,1036054,85,247514
ML-DSA-44,512,173,500018,350,1013318,95,274368
ML-DSA-44,512,166,480588,225,651021,85,246239
ML-DSA-44,512,168,486591,303,877395,85,245920
ML-DSA-44,512,167,484242,226,653312,85,246152
ML-DSA-44,512,189,547636,420,1217159,85,247341
ML-DSA-44,512,170,493435,644,1863975,86,248443
ML-DSA-44,512,182,527365,428,1241055,86,247370
ML-DSA-44,512,170,493870,344,994497,86,250473
ML-DSA-44,512,172,497582,292,845814,85,246355
ML-DSA-44,512,179,516722,685,1982556,85,246587
ML-DSA-44,512,197,570169,550,1593057,85,246674
ML-DSA-44,512,173,502570,403,1167947,85,246326
ML-DSA-44,512,172,497872,606,1755341,86,247167
ML-DSA-44,512,215,621557,1210,3502446,127,369199
ML-DSA-44,512,288,833547,601,1742291,120,347623
ML-DSA-44,512,286,827109,504,1459309,123,355685
ML-DSA-44,512,290,838796,1108,3208183,125,361717
ML-DSA-44,512,308,894447,993,2876481,123,355221
ML-DSA-44,512,336,973095,806,2332354,87,252561
ML-DSA-44,512,195,563325,229,663376,86,247022
ML-DSA-44,512,172,499525,432,1249030,85,246732
ML-DSA-44,512,177,510922,350,1015696,84,245601
ML-DSA-44,512,172,499612,349,1008794,84,245485
ML-DSA-44,512,169,490796,357,1032690,85,246240
ML-DSA-44,512,171,496103,358,1035677,89,257868
ML-DSA-44,512,227,658793,1074,3109177,119,342664
ML-DSA-44,512,327,950620,947,2739166,91,263987
ML-DSA-44,512,212,613872,556,1607238,85,246587
ML-DSA-44,512,172,499322,225,650441,87,251082
ML-DSA-44,512,171,494363,472,1366916,85,246964
ML-DSA-44,512,174,505093,479,1388839,85,245833
ML-DSA-44,512,187,541344,670,1939375,85,247341
ML-DSA-44,512,196,568632,1255,3634251,85,248154
ML-DSA-44,512,177,511618,410,1188478,85,245804
ML-DSA-44,512,168,486997,223,646902,84,246065
ML-DSA-44,512,170,493493,229,663346,84,245892
ML-DSA-44,512,166,482299,800,2314896,86,247138
ML-DSA-44,512,239,692404,608,1759923,128,369577
ML-DSA-44,512,275,797471,786,2274354,124,357889
ML-DSA-44,512,603,1748845,1136,3287527,85,246616
ML-DSA-44,512,170,492333,227,655980,85,246558
ML-DSA-44,512,170,492246,477,1381502,85,246180
ML-DSA-44,512,165,478239,973,2817263,85,246006
ML-DSA-44,512,173,500888,415,1203471,85,246877
ML-DSA-44,512,164,474759,227,657053,98,283910
ML-DSA-44,512,175,509936,571,1652478,89,257781
ML-DSA-44,512,167,481226,349,1012708,86,246877
ML-DSA-44,512,171,495117,748,2165459,85,246267
ML-DSA-44,512,170,492420,223,647860,85,246616
ML-DSA-44,512,174,506572,225,653022,88,254534
ML-DSA-44,512,171,494363,568,1646271,86,246355
ML-DSA-44,512,165,479428,348,1007953,85,246500
ML-DSA-44,512,167,483749,286,828124,85,245978
ML-DSA-44,512,167,481864,293,849149,85,246413
ML-DSA-44,512,176,510052,347,1003458,85,245862
ML-DSA-44,512,167,484735,348,1006155,85,246268
ML-DSA-44,512,165,478790,224,648324,85,245601
ML-DSA-44,512,170,492623,228,661084,85,246413
ML-DSA-44,512,167,482647,403,1166611,88,253982
ML-DSA-44,512,166,479921,428,1237256,85,246384
ML-DSA-44,512,177,511966,298,863359,85,246762
ML-DSA-44,512,172,498134,355,1026629,89,257781
ML-DSA-44,512,175,507732,229,662099,85,246152
ML-DSA-44,512,172,500685,339,983216,85,246326
ML-DSA-44,512,170,493609,230,665144,85,246848
ML-DSA-44,512,167,484387,539,1561041,89,257259
ML-DSA-44,512,180,520550,225,650122,84,245891
ML-DSA-44,512,168,484909,302,874640,87,250966
ML-DSA-44,512,170,490709,225,650470,85,246616
ML-DSA-44,512,171,496944,286,828124,86,246790
