Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
Falcon-1024,1024,18568,53748397,574,1661815,71,207408
Falcon-1024,1024,21387,61904241,618,1789009,74,216108
Falcon-1024,1024,16019,46367230,570,1651927,72,206683
Falcon-1024,1024,14633,42354037,570,1651724,72,208133
Falcon-1024,1024,18906,54725031,577,1669878,71,207002
Falcon-1024,1024,23059,66743703,580,1678549,71,207205
Falcon-1024,1024,15827,45812692,572,1654363,72,207727
Falcon-1024,1024,13792,39923024,565,1636180,72,207900
Falcon-1024,1024,13434,38883606,568,1645807,74,214136
Falcon-1024,1024,17505,50670511,574,1660250,71,206538
Falcon-1024,1024,15608,45178578,599,1735592,72,209380
Falcon-1024,1024,24921,72133904,611,1770769,73,209584
Falcon-1024,1024,14295,41379259,608,1758502,71,207263
Falcon-1024,1024,14992,43396239,590,1709173,72,208626
Falcon-1024,1024,14139,40926714,571,1652797,72,208046
Falcon-1024,1024,13759,39826860,572,1655378,72,208074
Falcon-1024,1024,18126,52468888,577,1670313,72,207234
Falcon-1024,1024,16322,47244625,574,1661032,72,208017
Falcon-1024,1024,13412,38821778,568,1645518,72,207495
Falcon-1024,1024,13277,38428770,571,1653725,72,207321
Falcon-1024,1024,19077,55218610,578,1673561,71,206016
Falcon-1024,1024,13607,39384407,564,1633164,72,207582
Falcon-1024,1024,13257,38373467,562,1625739,72,208104
Falcon-1024,1024,13247,38345134,569,1647722,72,208017
Falcon-1024,1024,16205,46904716,571,1653493,72,207379
Falcon-1024,1024,19802,57319486,618,1787937,73,210628
Falcon-1024,1024,13421,38850923,615,1780716,72,209641
Falcon-1024,1024,16331,47273190,591,1711783,71,207233
Falcon-1024,1024,17885,51769495,599,1734432,72,208656
Falcon-1024,1024,18258,52848469,575,1664078,72,209235
Falcon-1024,1024,20596,59614894,596,1725587,72,210249
Falcon-1024,1024,13093,37898998,567,1642966,72,207929
Falcon-1024,1024,13259,38379296,569,1646939,71,205378
Falcon-1024,1024,14842,42961470,572,1656509,71,206132
Falcon-1024,1024,14640,42376859,567,1641284,72,208278
Falcon-1024,1024,19741,57140469,581,1680868,72,208423
Falcon-1024,1024,14278,41328306,575,1664194,71,207234
Falcon-1024,1024,13075,37846334,573,1659698,71,206828
Falcon-1024,1024,16009,46339448,566,1638587,71,206248
Falcon-1024,1024,15145,43837444,577,1670690,72,207843
Falcon-1024,1024,13918,40286655,566,1638586,72,206538
Falcon-1024,1024,14265,41290838,571,1652971,74,214948
Falcon-1024,1024,14777,42771056,576,1666573,71,208047
Falcon-1024,1024,19955,57761736,589,1703924,72,208915
Falcon-1024,1024,19379,56095106,614,1775583,72,210830
Falcon-1024,1024,13766,39848784,589,1704242,72,208626
Falcon-1024,1024,13943,40358952,614,1777294,73,210018
Falcon-1024,1024,30775,89081156,599,1734374,73,209845
Falcon-1024,1024,17842,51643200,570,1651260,72,207611
Falcon-1024,1024,14120,40870831,575,1664832,73,209119
Falcon-1024,1024,13979,40464744,574,1660598,72,207147
Falcon-1024,1024,14108,40836147,573,1659990,72,206770
Falcon-1024,1024,14651,42408875,573,1657176,71,207001
Falcon-1024,1024,16676,48268006,567,1641342,71,207553
Falcon-1024,1024,13079,37857499,564,1630525,72,208539
Falcon-1024,1024,24179,69988281,567,1642763,72,206713
Falcon-1024,1024,19408,56178656,581,1683363,71,207871
Falcon-1024,1024,14293,41372792,566,1639572,72,206712
Falcon-1024,1024,16934,49016061,573,1660105,72,208423
Falcon-1024,1024,13635,39467231,629,1819982,74,216253
Falcon-1024,1024,17045,49336047,582,1686871,72,208394
Falcon-1024,1024,14262,41281848,568,1644184,72,206393
Falcon-1024,1024,13942,40358546,582,1682405,72,208074
Falcon-1024,1024,13597,39358220,570,1648910,74,214194
Falcon-1024,1024,18428,53339497,606,1754065,72,209294
Falcon-1024,1024,16545,47891470,595,1722658,71,206103
Falcon-1024,1024,24101,69762864,572,1653638,72,209525
Falcon-1024,1024,13779,39884397,570,1650100,71,206625
Falcon-1024,1024,17170,49698866,578,1674460,72,208539
Falcon-1024,1024,16918,48969081,593,1718424,76,217731
Falcon-1024,1024,16154,46758064,569,1645577,71,206655
Falcon-1024,1024,13134,38017405,599,1734287,72,208161
Falcon-1024,1024,16672,48258755,588,1702126,72,208278
Falcon-1024,1024,16461,47647146,575,1663324,72,208017
Falcon-1024,1024,26148,75685157,570,1651608,72,207089
Falcon-1024,1024,24119,69813179,585,1694064,72,207872
Falcon-1024,1024,19112,55322865,564,1629829,74,215470
Falcon-1024,1024,26149,75688144,574,1663092,71,205754
Falcon-1024,1024,16197,46882039,566,1640240,72,207958
Falcon-1024,1024,13923,40301851,576,1665469,71,208220
Falcon-1024,1024,14632,42355254,572,1654740,72,208336
Falcon-1024,1024,17877,51746875,576,1666891,72,207931
Falcon-1024,1024,20340,58873712,634,1835294,72,210163
Falcon-1024,1024,17217,49835572,571,1652797,71,207292
Falcon-1024,1024,14926,43205012,593,1716800,71,207756
Falcon-1024,1024,15630,45243712,564,1632062,72,206568
Falcon-1024,1024,17709,51261067,585,1694093,72,208973
Falcon-1024,1024,27503,79610336,614,1777526,72,208800
Falcon-1024,1024,14117,40861957,571,1651550,71,207611
Falcon-1024,1024,20591,59604396,578,1673358,71,207436
Falcon-1024,1024,18209,52709356,571,1651115,71,206712
Falcon-1024,1024,14279,41329437,564,1634440,72,207611
Falcon-1024,1024,13947,40371422,574,1661207,72,208277
