Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
ML-DSA-87,1024,2716,7861784,840,2430199,220,638058
ML-DSA-87,1024,334,966280,628,1817459,224,650789
ML-DSA-87,1024,316,916255,417,1206313,219,634636
ML-DSA-87,1024,308,891924,1048,3032182,220,635796
ML-DSA-87,1024,325,940093,677,1959820,224,649803
ML-DSA-87,1024,305,883949,1238,3585038,228,660533
ML-DSA-87,1024,328,950069,554,1604976,219,635361
ML-DSA-87,1024,314,910919,421,1217362,253,733613
ML-DSA-87,1024,338,978373,421,1218144,219,635854
ML-DSA-87,1024,322,930900,1727,5000731,219,634810
ML-DSA-87,1024,320,925564,1907,5522208,224,649861
ML-DSA-87,1024,322,933684,1544,4471046,221,639073
ML-DSA-87,1024,322,932814,551,1594072,219,634317
ML-DSA-87,1024,314,911238,657,1901791,221,639508
ML-DSA-87,1024,331,958508,411,1190566,223,645164
ML-DSA-87,1024,314,910223,523,1513945,219,634752
ML-DSA-87,1024,302,873886,419,1213012,219,633911
ML-DSA-87,1024,324,937918,1622,4695158,221,639275
ML-DSA-87,1024,342,992525,829,2397401,219,634550
ML-DSA-87,1024,327,946125,428,1239257,219,634550
ML-DSA-87,1024,312,904597,1020,2954027,224,646526
ML-DSA-87,1024,317,917444,425,1231862,220,636724
ML-DSA-87,1024,307,889894,1338,3873819,219,634521
ML-DSA-87,1024,298,864461,780,2256345,220,637565
ML-DSA-87,1024,307,887487,995,2882194,221,638551
ML-DSA-87,1024,294,851643,524,1515743,219,634317
ML-DSA-87,1024,299,866463,521,1508464,219,633592
ML-DSA-87,1024,305,884587,1589,4599777,223,644641
ML-DSA-87,1024,296,857066,647,1872500,234,677034
ML-DSA-87,1024,303,879628,1249,3613313,225,652703
ML-DSA-87,1024,315,913587,416,1201818,220,639014
ML-DSA-87,1024,307,888502,782,2265277,221,639711
ML-DSA-87,1024,311,900508,415,1199498,218,633360
ML-DSA-87,1024,310,898652,542,1569016,226,654472
ML-DSA-87,1024,306,888328,680,1968114,219,633447
ML-DSA-87,1024,305,882093,887,2570009,222,645279
ML-DSA-87,1024,323,935424,1628,4711398,219,636173
ML-DSA-87,1024,326,947488,551,1594913,227,657372
ML-DSA-87,1024,324,937396,518,1498459,220,638232
ML-DSA-87,1024,311,900131,412,1192914,222,641712
ML-DSA-87,1024,308,891837,995,2881382,220,635128
ML-DSA-87,1024,322,936323,1154,3341293,219,634868
ML-DSA-87,1024,315,914515,419,1212664,219,634317
ML-DSA-87,1024,307,888966,731,2115347,225,652587
ML-DSA-87,1024,304,879570,414,1199324,223,644032
ML-DSA-87,1024,305,883543,1230,3561664,226,652036
ML-DSA-87,1024,329,953056,549,1589548,221,638464
ML-DSA-87,1024,294,850541,1016,2940658,226,653022
ML-DSA-87,1024,295,854543,756,2186920,219,634317
ML-DSA-87,1024,294,853006,421,1216463,219,634201
ML-DSA-87,1024,294,850309,555,1607731,220,635622
ML-DSA-87,1024,303,877888,522,1511712,219,634376
ML-DSA-87,1024,296,859241,516,1492514,219,633622
ML-DSA-87,1024,303,879164,648,1878272,222,640668
ML-DSA-87,1024,300,867680,520,1506608,220,634259
ML-DSA-87,1024,298,864577,547,1582850,219,633853
ML-DSA-87,1024,301,872900,1439,4163559,220,639072
ML-DSA-87,1024,324,936700,415,1203558,221,638551
ML-DSA-87,1024,313,905235,412,1192045,220,638435
ML-DSA-87,1024,312,905583,781,2259071,222,642089
ML-DSA-87,1024,311,900653,420,1217478,219,634114
ML-DSA-87,1024,304,880527,916,2650165,219,634346
ML-DSA-87,1024,312,904336,521,1508928,229,662563
ML-DSA-87,1024,319,923854,1134,3281669,230,668305
ML-DSA-87,1024,373,1082106,435,1259064,219,633157
ML-DSA-87,1024,313,905728,921,2666376,221,640494
ML-DSA-87,1024,326,944994,893,2584451,221,638725
ML-DSA-87,1024,344,994932,761,2203014,229,664302
ML-DSA-87,1024,309,895723,419,1211417,226,654269
ML-DSA-87,1024,308,890938,424,1228411,219,634694
ML-DSA-87,1024,304,879918,1269,3672212,220,636086
ML-DSA-87,1024,329,954941,1292,3739434,230,665086
ML-DSA-87,1024,327,946908,554,1605091,219,634086
ML-DSA-87,1024,334,966889,666,1926847,219,634317
ML-DSA-87,1024,312,903408,413,1194336,232,672887
ML-DSA-87,1024,304,878410,1047,3031196,220,637826
ML-DSA-87,1024,321,929392,544,1574613,229,662882
ML-DSA-87,1024,305,884239,562,1625711,219,634781
ML-DSA-87,1024,307,888879,424,1227889,219,633708
ML-DSA-87,1024,307,889981,1000,2894373,229,661751
ML-DSA-87,1024,329,952592,427,1235893,220,635825
ML-DSA-87,1024,323,935279,432,1252684,219,634114
ML-DSA-87,1024,328,952157,654,1890945,219,634259
ML-DSA-87,1024,311,900624,412,1190856,227,657837
ML-DSA-87,1024,301,871972,784,2270149,219,634404
ML-DSA-87,1024,308,890909,676,1957297,221,639421
ML-DSA-87,1024,312,903524,541,1566377,228,659489
ML-DSA-87,1024,308,892243,546,1582907,220,638870
ML-DSA-87,1024,307,887980,523,1514322,221,638493
ML-DSA-87,1024,337,973617,1753,5075523,220,635709
ML-DSA-87,1024,397,1148458,951,2752622,327,948126
ML-DSA-87,1024,464,1343251,634,1836222,327,946647
ML-DSA-87,1024,472,1366335,950,2751230,328,950475
ML-DSA-87,1024,481,1393972,602,1741189,352,1020626
ML-DSA-87,1024,448,1297315,809,2344012,352,1016480
ML-DSA-87,1024,462,1339104,3453,9994908,326,941688
ML-DSA-87,1024,521,1508812,823,2382205,219,633650
ML-DSA-87,1024,320,926057,1368,3959253,219,634868
ML-DSA-87,1024,324,940644,804,2327251,226,653283
ML-DSA-87,1024,311,900856,759,2198606,220,637884
ML-DSA-87,1024,310,897637,547,1584647,221,638001
ML-DSA-87,1024,309,896158,518,1498488,222,643365
ML-DSA-87,1024,296,857211,783,2266553,219,633679
ML-DSA-87,1024,309,895085,553,1602540,219,634027
ML-DSA-87,1024,323,935337,521,1509654,219,634607
ML-DSA-87,1024,310,896419,518,1500837,234,674772
ML-DSA-87,1024,307,889604,525,1520441,220,635071
ML-DSA-87,1024,304,881658,418,1208894,219,634027
ML-DSA-87,1024,312,902799,551,1595378,219,633361
ML-DSA-87,1024,310,899522,777,2248399,222,641770
ML-DSA-87,1024,308,890967,415,1200223,222,644843
ML-DSA-87,1024,302,876322,418,1208227,219,633766
ML-DSA-87,1024,308,894564,913,2640421,220,638145
ML-DSA-87,1024,310,899754,840,2431998,219,635187
ML-DSA-87,1024,310,898246,426,1233602,219,633273
ML-DSA-87,1024,314,909875,690,1995432,223,646642
ML-DSA-87,1024,335,971790,550,1591027,219,634259
ML-DSA-87,1024,309,895491,1164,3370119,225,652413
ML-DSA-87,1024,329,952650,811,2346245,219,634607
ML-DSA-87,1024,321,931741,621,1795477,221,641741
ML-DSA-87,1024,304,882122,654,1891843,219,633680
ML-DSA-87,1024,305,883166,524,1516381,221,638464
ML-DSA-87,1024,311,902045,417,1206139,220,637623
ML-DSA-87,1024,318,920402,520,1505796,221,639218
ML-DSA-87,1024,310,898681,683,1978351,316,917531
ML-DSA-87,1024,496,1436515,660,1911013,312,904191
ML-DSA-87,1024,479,1389709,1227,3554414,336,973936
ML-DSA-87,1024,421,1222640,459,1326633,223,645598
ML-DSA-87,1024,332,961089,825,2388179,220,635593
ML-DSA-87,1024,345,999514,913,2642857,219,634404
ML-DSA-87,1024,480,1390666,1331,3853781,325,938875
ML-DSA-87,1024,348,1009751,548,1586242,231,667754
ML-DSA-87,1024,331,960509,426,1234066,222,644119
ML-DSA-87,1024,322,931219,1367,3957253,234,677121
ML-DSA-87,1024,341,985681,1709,4947487,229,664129
ML-DSA-87,1024,372,1078104,935,2705090,223,647657
ML-DSA-87,1024,348,1007257,567,1642966,231,669029
ML-DSA-87,1024,337,977909,431,1248740,226,653341
ML-DSA-87,1024,334,966744,436,1263443,223,646004
ML-DSA-87,1024,334,967353,752,2177059,232,670016
ML-DSA-87,1024,362,1049191,570,1650593,227,655923
ML-DSA-87,1024,345,999746,1122,3245854,229,664332
ML-DSA-87,1024,344,996643,432,1249755,227,657923
ML-DSA-87,1024,333,963873,675,1954832,230,665260
ML-DSA-87,1024,349,1012419,847,2452008,225,651776
ML-DSA-87,1024,339,982955,568,1644213,223,646874
ML-DSA-87,1024,348,1008388,447,1295053,219,636057
ML-DSA-87,1024,323,936874,562,1625247,222,643133
ML-DSA-87,1024,317,916342,1824,5281160,220,636927
ML-DSA-87,1024,318,920547,1334,3859784,230,666913
ML-DSA-87,1024,301,871392,564,1632729,231,668248
ML-DSA-87,1024,321,931683,418,1209271,231,669697
ML-DSA-87,1024,733,2121959,1129,3268243,234,677672
ML-DSA-87,1024,314,911992,543,1572206,218,632838
ML-DSA-87,1024,315,914428,537,1554457,219,632403
ML-DSA-87,1024,307,889256,779,2254866,238,686198
ML-DSA-87,1024,720,2084085,1482,4288897,222,643017
ML-DSA-87,1024,313,906772,683,1977075,221,638406
ML-DSA-87,1024,312,902393,854,2472134,341,986812
ML-DSA-87,1024,779,2256171,1483,4294320,220,636666
ML-DSA-87,1024,349,1010737,1173,3396219,219,636753
ML-DSA-87,1024,351,1019060,1590,4600878,228,661113
ML-DSA-87,1024,341,990466,764,2210090,228,659489
ML-DSA-87,1024,387,1120705,2926,8470871,222,641045
ML-DSA-87,1024,354,1027934,542,1567450,235,680863
ML-DSA-87,1024,656,1901240,1201,3475157,314,910020
ML-DSA-87,1024,493,1430831,961,2783507,320,924868
ML-DSA-87,1024,369,1067693,660,1912289,233,673961
ML-DSA-87,1024,353,1024077,912,2640740,220,637594
ML-DSA-87,1024,337,978634,460,1334261,220,637246
ML-DSA-87,1024,342,991336,793,2296771,262,758582
