Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
ML-DSA-44,512,3189,9231918,287,829400,92,266742
ML-DSA-44,512,224,647570,253,730974,86,250125
ML-DSA-44,512,200,579072,247,714270,125,361427
ML-DSA-44,512,196,570053,542,1568610,87,251168
ML-DSA-44,512,196,567385,239,692115,86,250444
ML-DSA-44,512,185,536703,605,1750295,86,249428
ML-DSA-44,512,198,571503,904,2616583,86,250037
ML-DSA-44,512,195,564862,302,873799,86,249807
ML-DSA-44,512,175,506224,533,1542974,86,249458
ML-DSA-44,512,178,515591,229,661374,86,249545
ML-DSA-44,512,178,515446,471,1363174,87,249836
ML-DSA-44,512,185,536094,350,1010447,86,249022
ML-DSA-44,512,178,514808,532,1539668,87,253865
ML-DSA-44,512,174,504484,226,653747,87,252300
ML-DSA-44,512,177,511966,1268,3671893,86,248849
ML-DSA-44,512,177,513184,341,989016,86,249429
ML-DSA-44,512,178,514982,339,981795,107,310532
ML-DSA-44,512,239,692346,437,1265850,87,251198
ML-DSA-44,512,196,566747,479,1386635,86,249922
ML-DSA-44,512,182,528989,230,666043,87,250473
ML-DSA-44,512,168,488679,399,1153562,86,249719
ML-DSA-44,512,180,523247,536,1549151,86,249459
ML-DSA-44,512,177,513068,227,655719,86,249863
ML-DSA-44,512,185,536152,783,2266553,89,256853
ML-DSA-44,512,176,508457,528,1527314,86,249835
ML-DSA-44,512,177,514605,227,656154,87,250154
ML-DSA-44,512,175,506775,287,830125,90,260507
ML-DSA-44,512,186,537341,420,1215593,86,250473
ML-DSA-44,512,188,543837,499,1444606,86,249806
ML-DSA-44,512,168,487432,1109,3209691,86,249197
ML-DSA-44,512,169,489317,356,1031704,86,249196
ML-DSA-44,512,177,512198,561,1624667,88,254446
ML-DSA-44,512,177,512923,337,974255,87,253953
ML-DSA-44,512,178,517389,639,1850287,87,249458
ML-DSA-44,512,197,569357,231,669813,86,249371
ML-DSA-44,512,177,513242,351,1016072,110,315839
ML-DSA-44,512,194,562223,227,657313,86,248908
ML-DSA-44,512,180,522029,349,1008765,86,249226
ML-DSA-44,512,169,489085,369,1068128,86,248878
ML-DSA-44,512,176,509530,225,651427,86,249719
ML-DSA-44,512,181,524233,281,811593,86,249341
ML-DSA-44,512,174,504890,422,1222669,87,253315
ML-DSA-44,512,176,508196,642,1857391,86,249806
ML-DSA-44,512,175,506253,229,663201,86,249226
ML-DSA-44,512,182,526205,225,652906,86,248966
ML-DSA-44,512,176,508457,288,834620,86,249082
ML-DSA-44,512,177,512517,804,2329048,86,249168
ML-DSA-44,512,176,508863,600,1736201,86,249168
ML-DSA-44,512,176,511270,535,1547063,86,250328
ML-DSA-44,512,175,507500,280,811420,86,248906
ML-DSA-44,512,179,518056,419,1212142,86,249399
ML-DSA-44,512,180,522435,231,667609,86,249690
ML-DSA-44,512,180,521594,397,1149095,90,260710
ML-DSA-44,512,168,486678,348,1008880,87,249633
ML-DSA-44,512,181,522957,610,1765520,85,248646
ML-DSA-44,512,179,519332,476,1377790,86,250009
ML-DSA-44,512,174,506543,395,1145326,87,250734
ML-DSA-44,512,196,566892,342,989422,89,259550
ML-DSA-44,512,167,484706,350,1010766,86,249197
ML-DSA-44,512,171,495465,547,1583719,87,250909
ML-DSA-44,512,178,519071,474,1372802,86,249893
ML-DSA-44,512,176,509501,235,678948,86,250386
ML-DSA-44,512,172,499003,406,1176269,90,259405
ML-DSA-44,512,168,487490,226,653632,86,249661
ML-DSA-44,512,169,488506,236,682777,86,249719
ML-DSA-44,512,177,513909,349,1009547,86,249980
ML-DSA-44,512,180,521681,226,653660,87,250009
ML-DSA-44,512,175,507935,532,1540103,86,249689
ML-DSA-44,512,176,511096,226,653950,90,259550
ML-DSA-44,512,176,511966,766,2216209,86,249719
ML-DSA-44,512,178,514605,226,656676,86,249690
ML-DSA-44,512,181,525596,295,854079,86,249573
ML-DSA-44,512,177,511183,440,1273912,86,250125
ML-DSA-44,512,178,514199,225,653544,87,249400
ML-DSA-44,512,193,559874,348,1007373,86,249255
ML-DSA-44,512,178,513126,355,1029499,87,249806
ML-DSA-44,512,176,511937,1050,3037576,86,250009
ML-DSA-44,512,178,515707,1447,4189021,89,255374
ML-DSA-44,512,192,555147,494,1429902,87,250560
ML-DSA-44,512,176,510574,303,877366,86,248878
ML-DSA-44,512,178,516780,750,2172825,86,249400
ML-DSA-44,512,177,514054,682,1973595,86,249255
ML-DSA-44,512,175,507500,283,819975,86,249951
ML-DSA-44,512,179,519245,280,810898,86,249051
ML-DSA-44,512,180,520289,1713,4958971,86,249429
ML-DSA-44,512,178,515098,410,1187347,86,248937
ML-DSA-44,512,176,510661,531,1537290,86,249313
ML-DSA-44,512,177,512923,557,1612951,86,249226
ML-DSA-44,512,176,510168,348,1006532,119,343708
ML-DSA-44,512,178,515852,225,651949,86,249139
ML-DSA-44,512,176,512169,358,1037794,86,249226
ML-DSA-44,512,173,503092,226,654009,90,259927
ML-DSA-44,512,176,510458,447,1294125,86,249226
ML-DSA-44,512,180,522464,283,819830,86,249225
ML-DSA-44,512,178,515069,723,2090987,87,251981
ML-DSA-44,512,199,575012,427,1235603,87,253374
ML-DSA-44,512,177,511937,226,654095,90,260478
ML-DSA-44,512,171,496712,461,1334870,86,249487
ML-DSA-44,512,171,494421,566,1639370,86,249313
ML-DSA-44,512,188,544736,702,2032058,86,248588
ML-DSA-44,512,180,521449,594,1721150,86,249022
ML-DSA-44,512,180,522493,470,1360362,86,248791
ML-DSA-44,512,180,522377,288,832503,86,249140
ML-DSA-44,512,175,507558,294,851005,93,268772
ML-DSA-44,512,177,512517,226,654211,86,249342
ML-DSA-44,512,175,508718,301,869884,86,248850
ML-DSA-44,512,177,512836,485,1403311,89,259695
ML-DSA-44,512,175,506920,875,2533556,86,249806
ML-DSA-44,512,178,515330,296,857095,86,249168
ML-DSA-44,512,177,512865,680,1968868,89,259405
ML-DSA-44,512,174,505876,282,814378,86,249662
ML-DSA-44,512,182,526785,1471,4260128,87,250126
ML-DSA-44,512,176,510545,688,1991285,87,250386
ML-DSA-44,512,197,570024,545,1575832,87,253954
ML-DSA-44,512,170,491376,233,675961,87,250038
ML-DSA-44,512,175,509530,350,1012042,87,250792
ML-DSA-44,512,178,515417,293,847960,86,249400
ML-DSA-44,512,176,509994,237,685067,87,251749
ML-DSA-44,512,175,506108,528,1526646,89,259579
ML-DSA-44,512,175,506282,526,1522819,90,259289
ML-DSA-44,512,177,514199,1011,2925259,86,249516
