Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
ML-DSA-87,1024,2828,8188788,972,2813551,219,633911
ML-DSA-87,1024,309,893896,649,1879113,226,654124
ML-DSA-87,1024,298,863330,754,2182222,219,633795
ML-DSA-87,1024,299,864316,908,2628850,230,667348
ML-DSA-87,1024,326,943312,1254,3630017,221,639973
ML-DSA-87,1024,297,860576,547,1582675,219,633041
ML-DSA-87,1024,296,856922,520,1505332,223,643771
ML-DSA-87,1024,301,871566,912,2638884,220,638261
ML-DSA-87,1024,298,862373,408,1182823,223,645163
ML-DSA-87,1024,424,1228788,858,2484140,314,907091
ML-DSA-87,1024,438,1268344,938,2713443,219,633099
ML-DSA-87,1024,319,922142,1701,4925185,222,642379
ML-DSA-87,1024,304,878874,410,1189087,224,647541
ML-DSA-87,1024,1203,3482088,1113,3221958,219,634578
ML-DSA-87,1024,344,994497,562,1627276,371,1074885
ML-DSA-87,1024,616,1784399,811,2347433,229,663346
ML-DSA-87,1024,316,914138,567,1640211,219,633998
ML-DSA-87,1024,319,924926,783,2267451,320,926579
ML-DSA-87,1024,494,1431324,1578,4568747,303,877598
ML-DSA-87,1024,504,1459309,1045,3024294,219,635448
ML-DSA-87,1024,337,977271,416,1202978,221,639305
ML-DSA-87,1024,307,891402,414,1197439,221,638522
ML-DSA-87,1024,301,873683,543,1572118,221,638783
ML-DSA-87,1024,294,852948,1024,2963104,220,638174
ML-DSA-87,1024,302,876612,416,1202601,220,638029
ML-DSA-87,1024,303,877424,543,1571597,219,634375
ML-DSA-87,1024,304,880295,414,1196076,219,634462
ML-DSA-87,1024,334,967585,416,1204051,224,648469
ML-DSA-87,1024,295,853848,641,1854927,284,822468
ML-DSA-87,1024,439,1273448,1316,3806859,312,904829
ML-DSA-87,1024,510,1476419,625,1808903,319,923853
ML-DSA-87,1024,358,1036547,689,1995635,221,637942
ML-DSA-87,1024,329,951577,791,2292131,221,638231
ML-DSA-87,1024,323,934699,896,2594282,224,646845
ML-DSA-87,1024,320,926550,546,1579862,232,672771
ML-DSA-87,1024,317,917763,552,1598016,220,634752
ML-DSA-87,1024,328,948387,423,1225859,219,633998
ML-DSA-87,1024,331,960422,656,1897644,228,658880
ML-DSA-87,1024,317,919098,548,1586533,221,638319
ML-DSA-87,1024,326,944501,426,1232703,220,638000
ML-DSA-87,1024,311,902161,1986,5747191,234,677643
ML-DSA-87,1024,338,978692,532,1541524,224,647223
ML-DSA-87,1024,330,958421,635,1837701,222,643133
ML-DSA-87,1024,323,935714,921,2665535,220,638232
ML-DSA-87,1024,317,918053,425,1230586,221,638494
ML-DSA-87,1024,325,938295,417,1208952,221,638927
ML-DSA-87,1024,331,956913,420,1216898,221,638232
ML-DSA-87,1024,314,909556,665,1923947,256,741211
ML-DSA-87,1024,336,972138,1129,3268126,228,661374
ML-DSA-87,1024,328,951925,1056,3055904,301,870203
ML-DSA-87,1024,477,1381386,1161,3361941,337,975995
ML-DSA-87,1024,495,1434688,810,2344650,296,856689
ML-DSA-87,1024,425,1231224,519,1502461,322,932060
ML-DSA-87,1024,481,1393421,1126,3258643,324,939049
ML-DSA-87,1024,465,1347543,626,1814037,338,978054
ML-DSA-87,1024,470,1363957,617,1786342,330,955810
ML-DSA-87,1024,459,1328113,805,2331397,501,1449971
ML-DSA-87,1024,704,2037598,529,1531838,222,640842
ML-DSA-87,1024,303,879744,418,1209009,221,640263
ML-DSA-87,1024,306,887690,412,1194104,219,634839
ML-DSA-87,1024,301,871740,541,1567044,223,644728
ML-DSA-87,1024,321,927536,414,1199991,226,653340
ML-DSA-87,1024,298,862025,1149,3325836,222,642031
ML-DSA-87,1024,303,878642,646,1869486,225,652471
ML-DSA-87,1024,336,973414,1492,4316447,325,942065
ML-DSA-87,1024,358,1038606,422,1219044,263,763397
